Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
G-5x5-5-ht,0,1,15,200,1.18,20,6,101.958,83.2483,18.7097,22.4745730543
G-5x5-5-ht,1,2,20,200,1.07,35,6,77.2002,75.4102,1.79,2.3736841966
