Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-A-a-ht,0,1,24000,39600,1.14,47800,143,36533.8,37658.5,-1124.7,2.9865767357
R-A-a-ht,1,2,24000,39600,1.1,20100,250,33966.8,31675.2,2291.6,7.2346820225
R-A-a-ht,2,3,24000,39600,0.97,43650,145,34495.2,34935.4,-440.2,1.2600399595
R-A-a-ht,3,4,32000,39600,0.9,50650,160,35096.2,34998.6,97.6,0.2788682976
R-A-a-ht,4,5,32000,39600,1,27250,221,35680.2,31171.9,4508.3,14.4627051928
R-A-a-ht,5,6,40000,39600,0.96,47950,158,36370,36478.1,-108.1,0.2963421889
R-A-a-ht,6,7,40000,39600,1.11,33950,214,34668,34969.5,-301.5,0.8621798996
