Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B-e,0,1,24000,39600,1,38150,126,30366.7,29003.6,1363.1,4.6997614089
R-B-e,1,2,24000,39600,1,43650,142,31660.1,31632.9,27.2,0.0859864255
R-B-e,2,3,24000,39600,1,30200,81,25239.2,24850.2,389,1.5653797555
R-B-e,3,4,24000,39600,1,43050,133,31842.8,31557,285.8,0.905662769
R-B-e,4,5,24000,39600,1,42300,98,30575.5,30401,174.5,0.5739942765
R-B-e,5,6,24000,39600,1,42850,102,30390.6,29859.2,531.4,1.7796859929
