Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Range Route Time,Range Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,2,0,3,291.405,190.905,852.861,548.361,284.287,182.787,12.07,9.16337,270.351,172.851,21.0541,18.0541,0.013,0.635535,0.191,1.33607,0,20.9486,1.11765,90,0.184918,0.185234,1,-1,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,36,85,49,59,1,1,10,1,3.989,4.02889,0,0,Right,0.5,68.6473,69.6473,1,LINESTRING(8.000000 4.000000	8.000000 5.000000)
0,0,37,253,59,69,1,0,0,1,0,0,0,0,Straight,0,69.6473,70.6473,1,LINESTRING(8.000000 5.000000	8.000000 6.000000)
0,0,38,241,69,79,1,0,0,1,0,0,0,0,Straight,0,70.6473,71.6473,1,LINESTRING(8.000000 6.000000	8.000000 7.000000)
0,0,39,251,79,89,1,0,0,1,0,0,0,0,Straight,0,71.6473,72.6473,1,LINESTRING(8.000000 7.000000	8.000000 8.000000)
0,0,40,249,89,90,1,0,0,1,0,0,0,0,Right,0.5,73.1473,74.1473,1,LINESTRING(8.000000 8.000000	9.000000 8.000000)
0,0,41,255,90,100,1,0,0,1,0,0,0,0,Left,2.5,76.6473,77.6473,1,LINESTRING(9.000000 8.000000	9.000000 9.000000)
0,1,0,254,100,90,1,0,0,1,0,0,0,10.7,None,0,88.3473,89.3473,1,LINESTRING(9.000000 9.000000	9.000000 8.000000)
0,1,1,236,90,80,1,0,0,1,0,0,0,0,Straight,0,89.3473,90.3473,1,LINESTRING(9.000000 8.000000	9.000000 7.000000)
0,1,2,86,80,70,1,1,10,1,2.5446,2.57005,0,0,Straight,0,90.3473,91.3473,1,LINESTRING(9.000000 7.000000	9.000000 6.000000)
0,1,3,92,70,60,1,1,10,1,2.792,2.81992,0,0,Straight,0,91.3473,92.3473,1,LINESTRING(9.000000 6.000000	9.000000 5.000000)
0,1,4,244,60,59,1,0,0,1,0,0,0,0,Right,0.5,92.8473,93.8473,1,LINESTRING(9.000000 5.000000	8.000000 5.000000)
0,1,5,84,59,49,1,1,10,1,3.989,4.02889,0,0,Left,2.5,96.3473,97.3473,1,LINESTRING(8.000000 5.000000	8.000000 4.000000)
0,1,6,79,49,50,1,1,15,1,3.3084,3.34148,0,0,Left,2.5,99.8473,100.847,1,LINESTRING(8.000000 4.000000	9.000000 4.000000)
0,1,7,230,50,40,1,0,0,1,0,0,0,0,Right,0.5,101.347,102.347,1,LINESTRING(9.000000 4.000000	9.000000 3.000000)
0,1,8,82,40,39,1,1,20,1,3.1422,3.17362,0,0,Right,0.5,102.847,103.847,1,LINESTRING(9.000000 3.000000	8.000000 3.000000)
0,1,9,90,39,29,1,1,5,1,2.1271,2.14837,0,0,Left,2.5,106.347,107.347,1,LINESTRING(8.000000 3.000000	8.000000 2.000000)
0,1,10,80,29,19,1,1,20,1,2.9656,2.99526,0,0,Straight,0,107.347,108.347,1,LINESTRING(8.000000 2.000000	8.000000 1.000000)
0,1,11,88,19,9,1,1,5,1,2.8512,2.87971,0,0,Straight,0,108.347,109.347,1,LINESTRING(8.000000 1.000000	8.000000 0.000000)
0,1,12,96,9,8,1,0,0,1,0,0,0,0,Right,0.5,109.847,110.847,1,LINESTRING(8.000000 0.000000	7.000000 0.000000)
0,1,13,205,8,18,1,0,0,1,0,0,0,0,Right,0.5,111.347,112.347,1,LINESTRING(7.000000 0.000000	7.000000 1.000000)
0,1,14,227,18,28,1,0,0,1,0,0,0,0,Straight,0,112.347,113.347,1,LINESTRING(7.000000 1.000000	7.000000 2.000000)
0,1,15,187,28,38,1,0,0,1,0,0,0,0,Straight,0,113.347,114.347,1,LINESTRING(7.000000 2.000000	7.000000 3.000000)
0,1,16,74,38,37,1,1,15,1,3.5684,3.60408,0,0,Left,2.5,116.847,117.847,1,LINESTRING(7.000000 3.000000	6.000000 3.000000)
0,1,17,215,37,47,1,0,0,1,0,0,0,0,Right,0.5,118.347,119.347,1,LINESTRING(6.000000 3.000000	6.000000 4.000000)
0,1,18,192,47,46,1,0,0,1,0,0,0,0,Left,2.5,121.847,122.847,1,LINESTRING(6.000000 4.000000	5.000000 4.000000)
0,1,19,94,46,45,1,0,0,1,0,0,0,0,Straight,0,122.847,123.847,1,LINESTRING(5.000000 4.000000	4.000000 4.000000)
0,1,20,39,45,55,1,1,15,1,2.7032,2.73023,0,0,Right,0.5,124.347,125.347,2,LINESTRING(4.000000 4.000000	4.000000 5.000000)
0,1,21,13,55,65,1,1,10,1,3.2848,3.31765,0,0,Straight,0,125.347,126.347,2,LINESTRING(4.000000 5.000000	4.000000 6.000000)
0,1,22,6,65,64,1,1,20,1,2.5872,2.61307,0,0,Left,2.5,128.847,129.847,1,LINESTRING(4.000000 6.000000	3.000000 6.000000)
0,1,23,166,64,63,1,0,0,1,0,0,0,0,Straight,0,129.847,130.847,1,LINESTRING(3.000000 6.000000	2.000000 6.000000)
0,1,24,147,63,73,1,0,0,1,0,0,0,0,Right,0.5,131.347,132.347,1,LINESTRING(2.000000 6.000000	2.000000 7.000000)
0,1,25,18,73,72,1,1,10,1,3.9169,3.95607,0,0,Left,2.5,134.847,135.847,2,LINESTRING(2.000000 7.000000	1.000000 7.000000)
0,1,26,43,72,82,1,1,15,1,3.6547,3.69125,0,0,Right,0.5,136.347,137.347,2,LINESTRING(1.000000 7.000000	1.000000 8.000000)
0,1,27,17,82,92,1,1,5,1,2.4155,2.43966,1,0,Straight,0,137.347,139.787,1,LINESTRING(1.000000 8.000000	1.000000 9.000000)
0,1,28,47,92,93,1,1,5,1,2.8662,2.89486,1,0,Right,0.5,140.287,143.182,1,LINESTRING(1.000000 9.000000	2.000000 9.000000)
0,1,29,29,93,94,1,1,10,1,3.2313,3.26361,1,0,Straight,0,143.182,146.445,1,LINESTRING(2.000000 9.000000	3.000000 9.000000)
0,1,30,31,94,95,1,1,20,1,3.3691,3.40279,1,0,Straight,0,146.445,149.848,1,LINESTRING(3.000000 9.000000	4.000000 9.000000)
0,1,31,160,95,85,1,0,0,1,0,0,0,0,Right,0.5,150.348,151.348,1,LINESTRING(4.000000 9.000000	4.000000 8.000000)
0,1,32,4,85,84,1,1,10,1,3.9795,4.01929,1,0,Right,0.5,151.848,155.868,1,LINESTRING(4.000000 8.000000	3.000000 8.000000)
0,1,33,48,84,74,1,1,20,1,3.3208,3.35401,1,0,Left,2.5,158.368,161.722,1,LINESTRING(3.000000 8.000000	3.000000 7.000000)
0,1,34,15,74,75,1,1,10,1,2.5302,2.5555,1,0,Left,2.5,164.222,166.777,1,LINESTRING(3.000000 7.000000	4.000000 7.000000)
0,1,35,2,75,65,1,1,20,1,3.8356,3.87396,1,0,Right,0.5,167.277,171.151,1,LINESTRING(4.000000 7.000000	4.000000 6.000000)
0,1,36,12,65,55,1,1,10,1,3.2848,3.31765,0,0,Straight,0,171.151,172.151,2,LINESTRING(4.000000 6.000000	4.000000 5.000000)
0,1,37,38,55,45,1,1,15,1,2.7032,2.73023,0,0,Straight,0,172.151,173.151,2,LINESTRING(4.000000 5.000000	4.000000 4.000000)
0,1,38,95,45,46,1,0,0,1,0,0,0,0,Left,2.5,175.651,176.651,2,LINESTRING(4.000000 4.000000	5.000000 4.000000)
0,1,39,193,46,47,1,0,0,1,0,0,0,0,Straight,0,176.651,177.651,2,LINESTRING(5.000000 4.000000	6.000000 4.000000)
0,1,40,214,47,37,1,0,0,1,0,0,0,0,Right,0.5,178.151,179.151,2,LINESTRING(6.000000 4.000000	6.000000 3.000000)
0,1,41,50,37,27,1,1,10,1,2.9868,3.01667,0,0,Straight,0,179.151,180.151,2,LINESTRING(6.000000 3.000000	6.000000 2.000000)
0,1,42,223,27,28,1,0,0,1,0,0,0,0,Left,2.5,182.651,183.651,2,LINESTRING(6.000000 2.000000	7.000000 2.000000)
0,1,43,226,28,18,1,0,0,1,0,0,0,0,Right,0.5,184.151,185.151,2,LINESTRING(7.000000 2.000000	7.000000 1.000000)
0,1,44,204,18,8,1,0,0,1,0,0,0,0,Straight,0,185.151,186.151,2,LINESTRING(7.000000 1.000000	7.000000 0.000000)
0,1,45,97,8,9,1,0,0,1,0,0,0,0,Left,2.5,188.651,189.651,2,LINESTRING(7.000000 0.000000	8.000000 0.000000)
0,1,46,89,9,19,1,1,5,1,2.8512,2.87971,0,0,Left,2.5,192.151,193.151,2,LINESTRING(8.000000 0.000000	8.000000 1.000000)
0,1,47,81,19,29,1,1,20,1,2.9656,2.99526,0,0,Straight,0,193.151,194.151,2,LINESTRING(8.000000 1.000000	8.000000 2.000000)
0,1,48,91,29,39,1,1,5,1,2.1271,2.14837,0,0,Straight,0,194.151,195.151,2,LINESTRING(8.000000 2.000000	8.000000 3.000000)
0,1,49,83,39,40,1,1,20,1,3.1422,3.17362,0,0,Right,0.5,195.651,196.651,2,LINESTRING(8.000000 3.000000	9.000000 3.000000)
0,1,50,231,40,50,1,0,0,1,0,0,0,0,Left,2.5,199.151,200.151,2,LINESTRING(9.000000 3.000000	9.000000 4.000000)
0,1,51,78,50,49,1,1,15,1,3.3084,3.34148,0,0,Left,2.5,202.651,203.651,2,LINESTRING(9.000000 4.000000	8.000000 4.000000)
0,1,52,85,49,59,1,1,10,1,3.989,4.02889,0,0,Right,0.5,204.151,205.151,2,LINESTRING(8.000000 4.000000	8.000000 5.000000)
0,1,53,253,59,69,1,0,0,1,0,0,0,0,Straight,0,205.151,206.151,2,LINESTRING(8.000000 5.000000	8.000000 6.000000)
0,1,54,241,69,79,1,0,0,1,0,0,0,0,Straight,0,206.151,207.151,2,LINESTRING(8.000000 6.000000	8.000000 7.000000)
0,1,55,251,79,89,1,0,0,1,0,0,0,0,Straight,0,207.151,208.151,2,LINESTRING(8.000000 7.000000	8.000000 8.000000)
0,1,56,249,89,90,1,0,0,1,0,0,0,0,Right,0.5,208.651,209.651,2,LINESTRING(8.000000 8.000000	9.000000 8.000000)
0,1,57,255,90,100,1,0,0,1,0,0,0,0,Left,2.5,212.151,213.151,2,LINESTRING(9.000000 8.000000	9.000000 9.000000)
0,2,0,254,100,90,1,0,0,1,0,0,0,10.7,None,0,223.851,224.851,2,LINESTRING(9.000000 9.000000	9.000000 8.000000)
0,2,1,236,90,80,1,0,0,1,0,0,0,0,Straight,0,224.851,225.851,2,LINESTRING(9.000000 8.000000	9.000000 7.000000)
0,2,2,86,80,70,1,1,10,1,2.5446,2.57005,0,0,Straight,0,225.851,226.851,2,LINESTRING(9.000000 7.000000	9.000000 6.000000)
0,2,3,92,70,60,1,1,10,1,2.792,2.81992,0,0,Straight,0,226.851,227.851,2,LINESTRING(9.000000 6.000000	9.000000 5.000000)
0,2,4,244,60,59,1,0,0,1,0,0,0,0,Right,0.5,228.351,229.351,2,LINESTRING(9.000000 5.000000	8.000000 5.000000)
0,2,5,84,59,49,1,1,10,1,3.989,4.02889,0,0,Left,2.5,231.851,232.851,2,LINESTRING(8.000000 5.000000	8.000000 4.000000)
0,2,6,79,49,50,1,1,15,1,3.3084,3.34148,0,0,Left,2.5,235.351,236.351,2,LINESTRING(8.000000 4.000000	9.000000 4.000000)
0,2,7,230,50,40,1,0,0,1,0,0,0,0,Right,0.5,236.851,237.851,2,LINESTRING(9.000000 4.000000	9.000000 3.000000)
0,2,8,82,40,39,1,1,20,1,3.1422,3.17362,0,0,Right,0.5,238.351,239.351,2,LINESTRING(9.000000 3.000000	8.000000 3.000000)
0,2,9,90,39,29,1,1,5,1,2.1271,2.14837,0,0,Left,2.5,241.851,242.851,2,LINESTRING(8.000000 3.000000	8.000000 2.000000)
0,2,10,80,29,19,1,1,20,1,2.9656,2.99526,0,0,Straight,0,242.851,243.851,2,LINESTRING(8.000000 2.000000	8.000000 1.000000)
0,2,11,88,19,9,1,1,5,1,2.8512,2.87971,0,0,Straight,0,243.851,244.851,2,LINESTRING(8.000000 1.000000	8.000000 0.000000)
0,2,12,96,9,8,1,0,0,1,0,0,0,0,Right,0.5,245.351,246.351,2,LINESTRING(8.000000 0.000000	7.000000 0.000000)
0,2,13,205,8,18,1,0,0,1,0,0,0,0,Right,0.5,246.851,247.851,2,LINESTRING(7.000000 0.000000	7.000000 1.000000)
0,2,14,227,18,28,1,0,0,1,0,0,0,0,Straight,0,247.851,248.851,2,LINESTRING(7.000000 1.000000	7.000000 2.000000)
0,2,15,187,28,38,1,0,0,1,0,0,0,0,Straight,0,248.851,249.851,2,LINESTRING(7.000000 2.000000	7.000000 3.000000)
0,2,16,74,38,37,1,1,15,1,3.5684,3.60408,0,0,Left,2.5,252.351,253.351,2,LINESTRING(7.000000 3.000000	6.000000 3.000000)
0,2,17,196,37,36,1,0,0,1,0,0,0,0,Straight,0,253.351,254.351,1,LINESTRING(6.000000 3.000000	5.000000 3.000000)
0,2,18,189,36,46,1,0,0,1,0,0,0,0,Right,0.5,254.851,255.851,1,LINESTRING(5.000000 3.000000	5.000000 4.000000)
0,2,19,94,46,45,1,0,0,1,0,0,0,0,Left,2.5,258.351,259.351,2,LINESTRING(5.000000 4.000000	4.000000 4.000000)
0,2,20,44,45,44,1,1,5,1,2.2748,2.29755,0,0,Straight,0,259.351,260.351,1,LINESTRING(4.000000 4.000000	3.000000 4.000000)
0,2,21,8,44,34,1,1,10,1,3.2464,3.27886,0,0,Left,2.5,262.851,263.851,1,LINESTRING(3.000000 4.000000	3.000000 3.000000)
0,2,22,144,34,24,1,0,0,1,0,0,0,0,Straight,0,263.851,264.851,1,LINESTRING(3.000000 3.000000	3.000000 2.000000)
